WATER_LEVEL,FLOW_SENSOR,RAIN,Y
34,34,0,0
78,20,1,1
78,30,1,1
23,55,0,0
88,30,1,1
24,28,0,0
78,35,1,1
90,43,1,1
45,78,0,0
49,68,0,0
20,70,0,0
40,67,0,0
90,23,1,1
98,30,1,1
78,45,1,1
89,45,1,1
85,34,1,1
76,42,1,1
90,34,1,1
34,34,0,0
78,20,1,1
78,30,1,1
23,55,0,0
88,30,1,1
24,28,0,0
78,35,1,1
90,43,1,1
45,78,0,0
49,68,0,0
20,70,0,0
40,67,0,0
90,23,1,1
98,30,1,1
78,45,1,1
89,45,1,1
85,34,1,1
76,42,1,1
90,34,1,1
34,34,0,0
78,20,1,1
78,30,1,1
23,55,0,0
88,30,1,1
24,28,0,0
78,35,1,1
90,43,1,1
45,78,0,0
49,68,0,0
20,70,0,0
40,67,0,0
90,23,1,1
98,30,1,1
78,45,1,1
89,45,1,1
85,34,1,1
76,42,1,1
90,34,1,1
